0449010,Eragon,"The Kingdom of Alagaesia is ruled by the evil King Galbatorix, a former dragon rider that betrayed his mates and his people in his quest for power. When the orphan farm boy Eragon finds a blue stone sent by Princess Arya, he sooner realizes that it is a dragon egg. When the dragon Saphira is born, Eragon meets his mentor Brom, and becomes the dragon rider foreseen in an ancient prophecy that would set his people free from the tyrant Galbatorix. Eragon meets the rebels Varden and together they fight against the evil sorcerer Durza and the army of Galbatorix in a journey for freedom. Orphaned farm boy Eragon destiny is sealed forever when a mystic stone chooses him for its keeper, this is no ordinary stone, this is the last surviving egg of the dragon race. Eragon is now the new Dragon Rider, the boy who will be savior to the repressed peoples of the Kingdom ruled by the wicked King Galbatorix and his evil wizard Durza. Running, hiding and battling across the lands with his mentor Brom and the gracious dragon Saphira, together, with the beautiful Princess Arya, this Band of Brothers learn more about themselves, their responsibilities and their destinies. Who shall succeed toward the end? Shall good overcome evil? Or will all be lost to the dark forces forever? Fly with the adventure. The story of a boy named Eragon finds a polished blue stone in the forest. At first, he thinks it's a lucky discovery, something that will bring meat to his poor family for the winter. Instead, it brings a dragon hatching, and Eragon is soon thrust into a world of magic and power through which he and the dragon must navigate. According to prophecy, Eragon is destined to be a dragon-rider like those who once protected a benevolent kingdom, thus reviving an ancient conflict against the army of King Galbatorix, a former dragon rider who turned to evil, now in alliance with a dark magic. In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king.",0814255|0373051|0385752|0416236|0494238|0499448|1854564|0398808|0980970|0363771|0406375|1397514
0241527,Harry Potter and the Sorcerer's Stone,"This is the tale of Harry Potter, an ordinary 11-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. Harry is snatched away from his mundane existence by Hagrid, the grounds keeper for Hogwarts, and quickly thrown into a world completely foreign to both him and the viewer. Famous for an incident that happened at his birth, Harry makes friends easily at his new school. He soon finds, however, that the wizarding world is far more dangerous for him than he would have imagined, and he quickly learns that not all wizards are ones to be trusted. Harry Potter is an average bespectacled 11 year old boy who has lived with the Dursley family ever since his parents died in a car crash. For some reason the family has always mistreated him. On his 11th birthday a giant man named Rubeus Hagrid hands him a letter telling him that he has been accepted as a student at the Hogwarts School of Witchcraft and Wizardry. Harry learns that his parents were wizards and were killed by an evil wizard Voldemort, a truth that was hidden from him all these years. He embarks for his new life as a student, gathering two good friends Ron Weasley and Hermione Granger along the way. They soon learn that something very valuable is hidden somewhere inside the school and Voldemort is very anxious to lay his hands on it. Harry Potter thinks he is an ordinary boy celebrating his 11th birthday, but he is far from wrong. A giant named Hagrid appears, and gives Harry the all important news. He is a wizard. Now his journey in life gets more intense as he travels to Hogwarts school of witchcraft and wizardry to learn the trade of being a wizard. Here, he meets his friends who would be by his side for many years to come. Ron Weasley is not very brave friend and Hermione is the smart friend. But not everything is quiet at Hogwarts as Harry suspects someone is planning to steal the sorcerer's stone. On his eleventh birthday, Harry Potter discovers that he is no ordinary boy. Hagrid, a beetle-eyed giant, tells Harry that he is a wizard and has a place at Hogwarts School of Witchcraft and Wizardry. In his first year of magical education, Harry tackles a fully grown mountain troll, learns to play Quidditch, and participates in a thrilling ""live"" game of chess. Harry Potter is a young boy with extraordinary magical abilities, after 11 miserable years with his relatives the Dursley's, Harry receives a letter from Hogwarts, not knowing anything about his past, he must come face to face with difficult classes, ghoulish beasts, and an enemy that has tried to murder him since he was born. Young Harry Potter has to lead a hard life: His parents have died in a car crash when he was still a baby, and he is being brought up by his Uncle Vernon and Aunt Petunia. For some reason unbeknownst to the bespectacled ten-year-old, the Dursleys let him live in the small chamber under the stairs, and treat him more like vermin than like a family member. His fat cousin Dudley, the Dursley's real son, keeps bothering Harry all the time. On his eleventh birthday, Harry Potter finally receives a mysterious letter from a certain Hogwarts School of Witchcraft and Wizardry, telling him that he is chosen as one of the future students of that supposedly renowned school. Hagrid, the gigantic man who brought the letter, finally introduces Harry into the real circumstances of his life: His parents were a wizard and a witch, they were killed by the evil wizard Voldemort protecting him. Harry still has a lightning-shaped scar on his forehead from that event. Since he survived the attack as a baby, and also somehow deprived Voldemort from his powers, he has been famous in the wizarding world ever since. The Dursleys, strong disbelievers in that magical crap, never told Harry anything about his true self. So, Harry is strongly surprised, yet absolutely happy to start his training. At Hogwarts, Harry meets his teachers, and becomes friends with Ron Weasley and Hermione Granger. The three of them accidentally find out that the potions master, Severus Snape, seems to plot on stealing something that is guarded by a three-headed dog. Since nobody would believe some first years to have found out such important things that even would incriminate a Hogwarts teacher, they take it on themselves to find out what Snape is up to. Their quest for the truth leads across many obstacles, from keeping up the everyday school life, a bewitched Quidditch match (Quidditch is a popular wizard sport), Fluffy, the three-headed monster dog and quite some tasks one has to overcome to get to the guarded object. Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry.",0295297|0304141|0330373|0373889|0417741|0926084|0099785|0363771|0367594|0477347|0104431|1014759
0295297,Harry Potter and the Chamber of Secrets,"Forced to spend his summer holidays with his muggle relations, Harry Potter gets a real shock when he gets a surprise visitor: Dobby the house-elf, who warns Harry Potter against returning to Hogwarts, for terrible things are going to happen. Harry decides to ignore Dobby's warning and continues with his pre-arranged schedule. But at Hogwarts, strange and terrible things are indeed happening: Harry is suddenly hearing mysterious voices from inside the walls, muggle-born students are being attacked, and a message scrawled on the wall in blood puts everyone on his/her guard - ""The Chamber Of Secrets Has Been Opened. Enemies Of The Heir, Beware"" . It's Year 2 at Hogwarts, and Harry Potter, Ron and Hermione are back learning, but their year doesn't go past quietly. Members of the school are turning up petrified and bloody writing are appearing on the walls, revealing to everyone, that someone has opened the chamber of secrets. The attacks continue, bringing the possibility of the closure of Hogwarts. Harry and his friends are now forced to secretly uncover the truth about the chamber before the school closes or any lives are taken. When a crazy houself named Dobby arrives in Harry's room, he warns him that there is a plot to destroy Hogwarts and that he shouldn't return. Harry then starts hearing voices through the walls, students being petrified, and a girl who died in a bathroom. He soon finds out that it is a basilisk roaming in the Chamber Of Secrets, under the control from a memory of Lord Voldemort. Is Voldemort still inactive? Or will it be a friend of his being controlled? Harry Potter is in his second year of Hogwarts School of Witchcraft and Wizardry. He is visited by a house-elf named Dobby and warned not to go back to Hogwarts. Harry ignores his warning, and returns. He is still famous, although still disliked by Snape, Malfoy, and the rest of the Slytherins. But then, strange things start to happen. People are becoming petrified, and no-one knows what is doing it. Harry keeps hearing a voice.. a voice which seems to be coming from within the walls. They are told the story of the Chamber of Secrets. It is said that only Salazar Slytherin's true descendent will be able to open it. Harry, it turns out, is a Parsel-tongue. This means that he is able to speak/understand snakes. Everyone thinks that it's him that has opened the Chamber of Secrets because that is what Slytherin was famous for. Harry Potter's adventures continue...Harry Potter begins his second year at Hogwarts School of Wizardry, but is warned by a mysterious creature that danger awaits him at the school. Malevolent voices whisper from the walls. Soon it's not just Harry who is worried about survival, as dreadful things begin to happen at Hogwarts. Harry Potter returns to Hogwarts School of Wizardry for his second year. After a confrontation with a house elf named Dobby, Harry escapes to the Weasley house with Ron Weasley in a flying car. They are then late for the train and have to ride it to school. When they get there, strange happenings invade the school. ""Mudbloods"" (people of Muggle families) are ""petrified"" by an evil monster lurking in the grounds. When every one suspects that it is him, the trio then set out to find the culprit and find out more than they bargained for: the diary of Tom Riddle, why Hagrid was expelled and what the Chamber of Secrets is and why is it so feared in Hogwarts. Harry ignores warnings not to return to Hogwarts, only to find the school plagued by a series of mysterious attacks and a strange voice haunting him.",0304141|0330373|0241527|0373889|0417741|0926084|0099785|0363771|0367594|0477347|0104431|0126029
0373051,Journey to the Center of the Earth,"Professor Trevor Anderson receives his teenager nephew Sean Anderson. He will spend ten days with his uncle while his mother, Elizabeth, prepares to move to Canada. She gives a box to Trevor that belonged to his missing brother, Max, and Trevor finds a book with references to the last journey of his brother. He decides to follow the steps of Max with Sean and they travel to Iceland, where they meet the guide Hannah ?sgeirsson. While climbing a mountain, there is a thunderstorm and they protect themselves in a cave. However, a lightening collapses the entrance and the trio is trapped in the cave. They seek an exit and falls in a hole, discovering a lost world in the center of the Earth. On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",1397514|0406375|0494238|0416236|0398808|1075417|0814255|0385752|0499448|1854564|0449010|0164912
0499448,The Chronicles of Narnia: Prince Caspian,"The four Pevensie children return to Narnia, only to discover that hundreds of years have passed since they ruled there, and the evil King Miraz has taken charge. With the help of a heroic mouse called Reepicheep, and the exiled heir to the throne, Prince Caspian, they set out to overthrow the King, once again with Aslan's help. A year after their first adventure in Narnia, Peter, Susan, Edmund, and Lucy are pulled back in by Susan's magic horn. They find that hundreds of years have passed, and Narnia is now ruled by the bloodthirsty General Miraz, uncle to the true heir, Prince Caspian, now in exile. Now the children must find Caspian and help him depose Miraz...but how will they get home after it's done? When Queen Prunaprismia has a baby boy, King Miraz orders his soldiers to kill Prince Caspian. However his tutor gives Susan's magic horn to him, telling that he should blow it if his life is in danger and asks him to ride to the forest. However he is chased by the Telmarian soldiers and he summons the Pevensie siblings. They discover that hundred of years have passed in Narnia and they join Prince Caspian to lead the people of Narnia against the evil King Miraz. When the battle begins, the siblings send Lucy to seek out Aslan, otherwise they will not beat the powerful Telmarian army. The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",0980970|0363771|0477347|0367594|0417741|0373889|0926084|0330373|0295297|0304141|1014759|0241527
0477347,Night at the Museum,"In New York, unemployed and divorced Larry Daley is a complete loser. His son Nick is very disappointed with his father who is going to be evicted. Larry accepts the job of night watchman in the Museum of Natural History and takes the place of three old security guards that have just retired in order to raise some money and pay his bills. On his first shift, Larry soon realizes that everything at the museum is not as it seems as the statues begin to come to life after the sun sets. The Museum transforms into complete chaos with the inexperienced Larry in charge as he learns that an old Egyptian stone that came to the Museum in 1950 brings these statues to life until dawn. When Larry brings his son to spend a night with him, the three old guards break into the Museum to try to steal the magical stone. Larry organizes all the historic characters to help him stop the criminals and save the museum. When an unemployed divorced loser father Larry Daley is hired as night watchman at the Museum of Natural History, he soon discovers that an ancient curse brings all the exhibits to life after the sun sets. Suddenly, Larry finds himself face-to-face with a frisky T. rex skeleton, tiny armies of Romans and cowboys and a mischievous monkey who taunts him to the breaking point. But with the big help of President Teddy Roosevelt, Larry may just figure out a way to control the chaos and become a hero in his son's eyes. Then when the three other evil night watchmen steal the tablet Larry must restore order to the museum before all the historic characters turn to dust! Larry Daley just can't keep hold of a steady job, but he begins to think there may be hope at last as he is hired as a night watchman at the Museum of Natural History. Everything goes well on the first night for Larry. That is until everything within the Museum start to come to life. Larry now has a choice to make. Either continue on finding another job or manage everything that comes to life, which includes tiny Romans and Cowboys, a skeleton of a Tyrannosaurus Rex and Teddy Roosevelt. Larry Daley (Ben Stiller) is divorced, unable to keep a stable job, and has failed at his many business ventures. His ex-wife (Kim Raver) believes that he is a bad example to their ten-year-old son Nicky (Jake Cherry), and Larry fears that Nick respects his future stepfather, bond trader Don (Paul Rudd), more than him. He gets a job as a night watchman at New York City's American Museum of Natural History and subsequently discovers that the exhibits, animated by a magical Egyptian artifact, come to life at night. When Larry Daley, a divorced father who can't seem to keep a job for more than a week, applies for a job at the Museum of Natural History, he is assigned as a night guard. However, a seemingly easy job turns out to be a wild ride when he finds that an ancient curse has caused the ""inhabitants"" of the museum to come to life. A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.",1078912|0099785|0363771|2692250|0104431|0367594|0499448|0295297|0373889|0304141|0330373|0926084
0494238,Inkheart,"Mo has the special talent to bring characters out of books. One night he brings out three characters from Inkheart, a story set in medieval times and filled with magical beings. Capricorn and Basta, two villains, and Dustfinger, a fire-eater. Now, 10 years later Meggie discovers the truth and it's up to her to escape Capricorn's evil grasp. An adventure of a father and his young daughter, searching for a long lost book that will help reunite a missing, close relative, this fantasy takes a darker side whenever we hear Mo 'Silvertongue' Folchart reading out aloud from books. His ability to rise to life, to export, to release figures out of the page and into the real world is only relevant when the darker side of his stories appear to reek havoc and destruction. Mortimer ""Mo"" Folchart raises his thirteen year old daughter Meggie alone after the disappearance of his wife Resa. He restores books for a living and travels with Meggie to find an old book called ""Inkheart"" in antique bookshops in Europe. When he is approached by a weird man called Dustfinger, she overhears him calling her father 'Silvertongue'. Meggie discovers later that he has the ability of bringing characters out of the books to the real world. They escape from Dustfinger heading to Italy to Meggie's aunt Elinor Loredan's manor, where the men of the evil Capricorn abduct them with the intention of forcing Mo to bring the powerful Shadow to Earth. A young girl discovers her father has an amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them all, with the help of her father, her aunt, and a storybook's hero.",0416236|0373051|0385752|0760329|0398808|0406375|0814255|0449010|1075417|1397514|0499448|0980970
0406375,Zathura: A Space Adventure,"Danny and Walter are two brothers who barely get along even while driving their parents to distraction as their older sister tries to ignore them. Despite their squabbling, the brothers manage cooperate enough to play an old mechanical board game named Zathura. However, after their first move, they find that the game has apparently flung them, their sister and their entire house into outer space. Furthermore, the brothers surmise the only way to return home is to finish the game. However with almost every move, new dangers arise as the siblings find themselves learning to cooperate in ways they never expected as they realize what they mean to each other. Two young brothers are drawn into an intergalactic adventure when their house is hurled through the depths of space by the magical board game they are playing.",0373051|0398808|0416236|0113497|0227538|1075417|0494238|1397514|0405325|0287717|0164912|0358082
0330373,Harry Potter and the Goblet of Fire,"Harry's fourth year at Hogwarts is about to start and he is enjoying the summer vacation with his friends. They get the tickets to The Quidditch World Cup Final but after the match is over, people dressed like Lord Voldemort's 'Death Eaters' set a fire to all the visitors' tents, coupled with the appearance of Voldemort's symbol, the 'Dark Mark' in the sky, which causes a frenzy across the magical community. That same year, Hogwarts is hosting 'The Triwizard Tournament', a magical tournament between three well-known schools of magic : Hogwarts, Beauxbatons and Durmstrang. The contestants have to be above the age of 17, and are chosen by a magical object called Goblet of Fire. On the night of selection, however, the Goblet spews out four names instead of the usual three, with Harry unwittingly being selected as the Fourth Champion. Since the magic cannot be reversed, Harry is forced to go with it and brave three exceedingly difficult tasks. Harry Potter returns to Hogwarts for his fourth year, where the Trizwizard tournament is becoming ready to begin. Students must be over 17 to enter, with the winner receiving eternal glory. Harry can't enter it this year...or can he. When his name is read out from the Goblet of Fire, everyone assumes that Harry Potter has cheated. Harry insists that he never placed his name in there, with someone else behind it. But Who? Harry must now survive through dragons, sea creatures and a terrifying maze, all before coming face-to-face with a particular dark wizard. The Tri-Wizard tournament is open!!! Four champions are selected to compete in 3 terrifying tasks in order to win the Tri-Wizard cup. Meanwhile, Harry Potter is selected by the Goblet Of Fire to compete while struggling to keep up the pace with classes and friends. He must confront fierce dragons, aggressive mermaids, and a dark wizard that hasn't been able to make his move for 13 years. Harry's fourth summer and the following year at Hogwarts are marked by the Quidditch World Cup and the Triwizard Tournament, in which student representatives from three different wizarding schools compete in a series of increasingly challenging contests. However, Voldemort's Death Eaters are gaining strength and even creating the Dark Mark giving evidence that the Dark Lord is ready to rise again. In the unsuspecting lives of the young wizard and witches at Hogwarts the competitors are selected by the goblet of fire, which this year makes a very surprising announcement: Hogwarts will have two representatives in the tournament, including Harry Potter! Will Harry be able to rise to the challenge for the Tri Wizard Tournament while keeping up with school or will the challenges along with Voldemort's rebirth be too much for the young hero? Harry Potter and the Goblet of Fire takes us deeper into the characters' minds and the darkness of the Wizarding World. At the Quidditch World Cup, Voldemort's followers gather and wreak havoc. Then, at Hogwarts, a legendary event takes place. The Triwizard Tournament! The Goblet of Fire judges who gets in and who doesn't. On the fateful night, three champions are selected. But then the Goblet spits out one other. Harry's. These two major events point to the return of Lord Voldemort. Dumbledore and the other teachers sense it, but it is inevitable. And Harry is no longer safe at Hogwarts. This fourth installment is the most dramatic, and also the scariest. Let me just say that all does not necessarily end well... Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.",0304141|0373889|0295297|0417741|0241527|0926084|0363771|0367594|0099785|0477347|1014759|0104431
0416236,The Spiderwick Chronicles,"Once upon a time, upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures. Unable to explain the strange disappearances and accidents that seem to be happening on a daily basis, the family blames it all on Jared. When he, Simon and Mallory investigate what's really going on, they uncover the fantastic truth of the Spiderwick estate and of the creatures that inhabit it. Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",0398808|0494238|0373051|0385752|0406375|0760329|0814255|0339291|0499448|0980970|0363771|1075417
