0449010,Eragon,"At first, he thinks it's a lucky discovery, something that will bring meat to his poor family for the winter.","Eragon is now the new Dragon Rider, the boy who will be savior to the repressed peoples of the Kingdom ruled by the wicked King Galbatorix and his evil wizard Durza.","When the dragon Saphira is born, Eragon meets his mentor Brom, and becomes the dragon rider foreseen in an ancient prophecy that would set his people free from the tyrant Galbatorix.","According to prophecy, Eragon is destined to be a dragon-rider like those who once protected a benevolent kingdom, thus reviving an ancient conflict against the army of King Galbatorix, a former dragon rider who turned to evil, now in alliance with a dark magic.",0814255|0373051|0385752|0416236|0494238|0499448|1854564|0398808|0980970|0363771|0406375|1397514
0241527,Harry Potter and the Sorcerer's Stone,"Harry Potter is an average bespectacled 11 year old boy who has lived with the Dursley family ever since his parents died in a car crash. He embarks for his new life as a student, gathering two good friends Ron Weasley and Hermione Granger along the way. The Dursleys, strong disbelievers in that magical crap, never told Harry anything about his true self.","This is the tale of Harry Potter, an ordinary 11-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. Harry Potter is a young boy with extraordinary magical abilities, after 11 miserable years with his relatives the Dursley's, Harry receives a letter from Hogwarts, not knowing anything about his past, he must come face to face with difficult classes, ghoulish beasts, and an enemy that has tried to murder him since he was born. Hagrid, the gigantic man who brought the letter, finally introduces Harry into the real circumstances of his life: His parents were a wizard and a witch, they were killed by the evil wizard Voldemort protecting him.","Harry Potter is an average bespectacled 11 year old boy who has lived with the Dursley family ever since his parents died in a car crash. Now his journey in life gets more intense as he travels to Hogwarts school of witchcraft and wizardry to learn the trade of being a wizard. Hagrid, a beetle-eyed giant, tells Harry that he is a wizard and has a place at Hogwarts School of Witchcraft and Wizardry.","This is the tale of Harry Potter, an ordinary 11-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. On his 11th birthday a giant man named Rubeus Hagrid hands him a letter telling him that he has been accepted as a student at the Hogwarts School of Witchcraft and Wizardry. Young Harry Potter has to lead a hard life: His parents have died in a car crash when he was still a baby, and he is being brought up by his Uncle Vernon and Aunt Petunia.",0295297|0304141|0330373|0373889|0417741|0926084|0099785|0363771|0367594|0477347|0104431|1014759
0295297,Harry Potter and the Chamber of Secrets,"Harry Potter's adventures continue...Harry Potter begins his second year at Hogwarts School of Wizardry, but is warned by a mysterious creature that danger awaits him at the school. Soon it's not just Harry who is worried about survival, as dreadful things begin to happen at Hogwarts. ""Mudbloods"" (people of Muggle families) are ""petrified"" by an evil monster lurking in the grounds.","But at Hogwarts, strange and terrible things are indeed happening: Harry is suddenly hearing mysterious voices from inside the walls, muggle-born students are being attacked, and a message scrawled on the wall in blood puts everyone on his/her guard - ""The Chamber Of Secrets Has Been Opened. When every one suspects that it is him, the trio then set out to find the culprit and find out more than they bargained for: the diary of Tom Riddle, why Hagrid was expelled and what the Chamber of Secrets is and why is it so feared in Hogwarts. Harry ignores warnings not to return to Hogwarts, only to find the school plagued by a series of mysterious attacks and a strange voice haunting him.","He soon finds out that it is a basilisk roaming in the Chamber Of Secrets, under the control from a memory of Lord Voldemort. He is visited by a house-elf named Dobby and warned not to go back to Hogwarts. Harry ignores warnings not to return to Hogwarts, only to find the school plagued by a series of mysterious attacks and a strange voice haunting him.","Forced to spend his summer holidays with his muggle relations, Harry Potter gets a real shock when he gets a surprise visitor: Dobby the house-elf, who warns Harry Potter against returning to Hogwarts, for terrible things are going to happen. But at Hogwarts, strange and terrible things are indeed happening: Harry is suddenly hearing mysterious voices from inside the walls, muggle-born students are being attacked, and a message scrawled on the wall in blood puts everyone on his/her guard - ""The Chamber Of Secrets Has Been Opened. When every one suspects that it is him, the trio then set out to find the culprit and find out more than they bargained for: the diary of Tom Riddle, why Hagrid was expelled and what the Chamber of Secrets is and why is it so feared in Hogwarts.",0304141|0330373|0241527|0373889|0417741|0926084|0099785|0363771|0367594|0477347|0104431|0126029
0373051,Journey to the Center of the Earth,,,,,1397514|0406375|0494238|0416236|0398808|1075417|0814255|0385752|0499448|1854564|0449010|0164912
0499448,The Chronicles of Narnia: Prince Caspian,Now the children must find Caspian and help him depose Miraz...but how will they get home after it's done?,"With the help of a heroic mouse called Reepicheep, and the exiled heir to the throne, Prince Caspian, they set out to overthrow the King, once again with Aslan's help.","However his tutor gives Susan's magic horn to him, telling that he should blow it if his life is in danger and asks him to ride to the forest.","They find that hundreds of years have passed, and Narnia is now ruled by the bloodthirsty General Miraz, uncle to the true heir, Prince Caspian, now in exile.",0980970|0363771|0477347|0367594|0417741|0373889|0926084|0330373|0295297|0304141|1014759|0241527
0477347,Night at the Museum,"Larry Daley just can't keep hold of a steady job, but he begins to think there may be hope at last as he is hired as a night watchman at the Museum of Natural History. Larry Daley (Ben Stiller) is divorced, unable to keep a stable job, and has failed at his many business ventures.","When Larry brings his son to spend a night with him, the three old guards break into the Museum to try to steal the magical stone. When Larry Daley, a divorced father who can't seem to keep a job for more than a week, applies for a job at the Museum of Natural History, he is assigned as a night guard.","When Larry brings his son to spend a night with him, the three old guards break into the Museum to try to steal the magical stone. When an unemployed divorced loser father Larry Daley is hired as night watchman at the Museum of Natural History, he soon discovers that an ancient curse brings all the exhibits to life after the sun sets.","When an unemployed divorced loser father Larry Daley is hired as night watchman at the Museum of Natural History, he soon discovers that an ancient curse brings all the exhibits to life after the sun sets. When Larry Daley, a divorced father who can't seem to keep a job for more than a week, applies for a job at the Museum of Natural History, he is assigned as a night guard.",1078912|0099785|0363771|2692250|0104431|0367594|0499448|0295297|0373889|0304141|0330373|0926084
0494238,Inkheart,"One night he brings out three characters from Inkheart, a story set in medieval times and filled with magical beings.","A young girl discovers her father has an amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them all, with the help of her father, her aunt, and a storybook's hero.",Meggie discovers later that he has the ability of bringing characters out of the books to the real world.,"A young girl discovers her father has an amazing talent to bring characters out of their books and must try to stop a freed villain from destroying them all, with the help of her father, her aunt, and a storybook's hero.",0416236|0373051|0385752|0760329|0398808|0406375|0814255|0449010|1075417|1397514|0499448|0980970
0406375,Zathura: A Space Adventure,,,,,0373051|0398808|0416236|0113497|0227538|1075417|0494238|1397514|0405325|0287717|0164912|0358082
0330373,Harry Potter and the Goblet of Fire,"Since the magic cannot be reversed, Harry is forced to go with it and brave three exceedingly difficult tasks. He must confront fierce dragons, aggressive mermaids, and a dark wizard that hasn't been able to make his move for 13 years. Let me just say that all does not necessarily end well... Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.","They get the tickets to The Quidditch World Cup Final but after the match is over, people dressed like Lord Voldemort's 'Death Eaters' set a fire to all the visitors' tents, coupled with the appearance of Voldemort's symbol, the 'Dark Mark' in the sky, which causes a frenzy across the magical community. In the unsuspecting lives of the young wizard and witches at Hogwarts the competitors are selected by the goblet of fire, which this year makes a very surprising announcement: Hogwarts will have two representatives in the tournament, including Harry Potter! Harry Potter and the Goblet of Fire takes us deeper into the characters' minds and the darkness of the Wizarding World.","Harry can't enter it this year...or can he. Harry's fourth summer and the following year at Hogwarts are marked by the Quidditch World Cup and the Triwizard Tournament, in which student representatives from three different wizarding schools compete in a series of increasingly challenging contests. In the unsuspecting lives of the young wizard and witches at Hogwarts the competitors are selected by the goblet of fire, which this year makes a very surprising announcement: Hogwarts will have two representatives in the tournament, including Harry Potter!","Harry's fourth summer and the following year at Hogwarts are marked by the Quidditch World Cup and the Triwizard Tournament, in which student representatives from three different wizarding schools compete in a series of increasingly challenging contests. In the unsuspecting lives of the young wizard and witches at Hogwarts the competitors are selected by the goblet of fire, which this year makes a very surprising announcement: Hogwarts will have two representatives in the tournament, including Harry Potter! Will Harry be able to rise to the challenge for the Tri Wizard Tournament while keeping up with school or will the challenges along with Voldemort's rebirth be too much for the young hero?",0304141|0373889|0295297|0417741|0241527|0926084|0363771|0367594|0099785|0477347|1014759|0104431
0416236,The Spiderwick Chronicles,,,,,0398808|0494238|0373051|0385752|0406375|0760329|0814255|0339291|0499448|0980970|0363771|1075417
